,text,class
0,"Летом 1985-го в бухте Чажма, между Владивостоком и Находкой, на атомной подводной лодке К-431 произошла авария – взорвался ядерный реактор, вследствие чего сотни людей получили облучение.",Кораблекрушение
1,Sputnik Казахстан вспоминает крупные аварии на шахтах в Казахстане.,Техногенные катастрофы
2,"Первое уголовное дело против Быкова было возбуждено в апреле 1999 года по четырем статьям УК РФ: ""причастность к убийству"", ""легализация незаконно полученных денежных средств"", ""незаконное хранение оружия"" и ""незаконные валютные операции"".",Возбуждение уголовного дела
3,"Завод ""Ливиз"" на Синопской набережной прекратил работу в 2008 году, после того как его мощности были перебазированы в Красное Село и Всеволожский район Ленинградской области.",Финансовые затруднения
4,"Руководство Национальной академии аграрных наук также фигурирует в другом уголовном деле по ст. 222 (мошенничество с финансовыми ресурсами), ст. 209 (Легализация (отмывание) доходов, полученных преступным путем) и ст. 191 (присвоение, растрата имущества или завладение им путем злоупотребления служебным положением) Уголовного кодекса Украины.",Мошенничество
5,"Спасатели нашли вертолет, который потерпел крушение в Удмуртии.",Авиакатастрофа
6,"Судебный процесс продолжается по второму обвинению: Кочарян обвиняется в получении взятки в особо крупных размерах, а Геворкян обвиняется в отмывании денег.",Отмывание денег
7,"Чистая прибыль ""Русгидро"" ощутимо упала в I квартале",Падение прибыли
8,"В продуктовом сегменте главные зарубежные ритейлеры - Auchan, Metro Cash & Carry и Globus - пока продолжают работать в штатном режиме и заявлений о возможном прекращении работы в России не делают.",Закрытие предприятия или производства
9,Ко времени аварии на ЧАЭС действовали четыре энергоблока на базе реакторовРБМК-1000 ( реактор большой мощности канального типа) с электрической мощностью1000 МВт (тепловая мощность- 3200 МВт) каждый.,Техногенные катастрофы
10,"Истец обратился в суд с исковым заявлением о взыскании задолженности по бюджетному кредиту, указав что в 2016 году между акиматом, акционерным обществом и ответчиком А. заключен договор займа в сумме 984 000 тенге для приобретения жилья, на условиях срочности, возвратности и платности.",Нарушение прав акционеров
11,"12 февраля лидера ""Руха новых сил"" Михеила Саакашвили задержали в столичном ресторане ""Сулугуни"" и отправили в страну предыдущего пребывания – Польшу, откуда он прибыл, нарушая законодательство Украины.",Нарушение закона
12,"Вот что в ней говорилось: ""В хоре всеобщего осуждения произведенных Индией испытательных ядерных взрывов голоса Вашингтона и Москвы звучали в унисон.",Ядерный взрыв
13,"Экс-чиновник обвинялся по четырем статьям УК РК – легализация имущества, полученного незаконным путем, пособничество в хищении бюджетных средств, получение взятки в особо крупном размере, а также незаконное участие в предпринимательской деятельности.",Мошенничество
14,"Сумма ущерба, в которую Каспийский трубопроводный консорциум оценил ущерб, причиненный окружающей среде от разлива нефти под Новороссийском в августе составил 350 млн руб.",Убытки
15,"Предыдущие исследования Бюро экономического анализа ( BEA) показали, что доход и убытки от прироста капитала могут достигать сотен миллиардов в любой данный год.",Рост убытков
16,Вечером 19 июня в Казани в районе улицы Магистральная на Волге затонуло пришвартованное к пристани судно.,Кораблекрушение
